Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (63, 29) | Orientación: 1 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (23, 29) | Orientación: 1 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (34, 60) | Orientación: 1 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (34, 21) | Orientación: 1 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (63, 29) | Orientación: 3 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (23, 29) | Orientación: 3 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (34, 60) | Orientación: 3 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 0 | Coordenadas: (34, 21) | Orientación: 3 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 1 | Coordenadas: (63, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 1 | Coordenadas: (23, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 1 | Coordenadas: (34, 60) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 1 | Coordenadas: (34, 21) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 2 | Coordenadas: (63, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 2 | Coordenadas: (23, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 2 | Coordenadas: (34, 60) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 2 | Coordenadas: (34, 21) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 3 | Coordenadas: (63, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 3 | Coordenadas: (23, 29) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 3 | Coordenadas: (34, 60) | Orientación: 0 | Porcentaje: 	
Mapa75 | Semilla: 0 | Nivel: 3 | Coordenadas: (34, 21) | Orientación: 0 | Porcentaje: 	

NOTA: los huecos vacios son 'Segmentation fault'
